arm,n_train,n_distinct_records,repeat,threshold,test_fp,test_pct_mean
S1_resample,20,15,62,0.6239577844950881,0.375,0.7708333333333334
S1_resample,20,12,63,0.6983455674394768,0.0,0.7645833333333334
S1_resample,20,12,64,0.6588204180727573,0.041666666666666664,0.74375
S1_resample,20,13,65,0.6977107671087744,0.041666666666666664,0.8208333333333334
S1_resample,20,12,66,0.7025807298997997,0.0,0.80625
S1_resample,20,10,67,0.6816853925291595,0.0,0.75625
S1_resample,20,15,68,0.6354234776356719,0.041666666666666664,0.7416666666666666
S1_resample,20,14,69,0.6006408809345134,0.3333333333333333,0.7979166666666666
S1_resample,20,9,70,0.6152125223144431,0.041666666666666664,0.7624999999999998
S1_resample,20,15,71,0.6813657933247839,0.041666666666666664,0.7687499999999999
S1_resample,20,10,72,0.5761561237656662,0.8333333333333334,0.9291666666666667
S1_resample,20,11,73,0.6957986392381345,0.0,0.7687499999999998
S1_resample,20,15,74,0.6053511140386051,0.375,0.7458333333333332
S1_resample,20,14,75,0.6443877332926451,0.0,0.7208333333333333
S1_resample,20,11,76,0.6415049369278971,0.041666666666666664,0.7250000000000001
S1_resample,20,12,77,0.5532905577665301,0.8333333333333334,0.8874999999999998
S1_resample,20,12,78,0.6719824471916672,0.0,0.7208333333333333
S1_resample,20,13,79,0.6555074600188083,0.0,0.7083333333333334
S1_resample,20,15,80,0.6806056766457215,0.041666666666666664,0.7604166666666666
S1_resample,20,12,81,0.6563691970496798,0.0,0.78125
S1_resample,20,13,82,0.6607646558954832,0.041666666666666664,0.7416666666666667
S1_resample,20,13,83,0.6559166914851594,0.041666666666666664,0.7458333333333335
S1_resample,20,12,84,0.684120029351273,0.0,0.74375
S1_resample,20,12,85,0.6843775517836754,0.0,0.78125
S1_resample,20,10,86,0.6658442302060633,0.0,0.7312500000000001
S1_resample,20,14,87,0.6127627000422631,0.375,0.7687499999999999
S1_resample,20,12,88,0.6577193398290263,0.16666666666666666,0.8583333333333333
S1_resample,20,14,89,0.6827343282151731,0.041666666666666664,0.7520833333333333
S1_resample,20,12,90,0.6145073493042481,0.3333333333333333,0.7270833333333333
S1_resample,20,13,91,0.6512328380699643,0.041666666666666664,0.8708333333333332
S1_resample,20,13,92,0.6837589640873105,0.0,0.75
S1_resample,20,14,93,0.712055812003051,0.0,0.80625
S1_resample,20,15,94,0.6761816328552087,0.0,0.7374999999999999
S1_resample,20,13,95,0.7003311226634984,0.0,0.80625
S1_resample,20,12,96,0.7220418893109247,0.0,0.8104166666666667
S1_resample,20,10,97,0.6207234333811169,0.0,0.7166666666666667
S1_resample,20,11,98,0.6547188141940604,0.08333333333333333,0.8916666666666666
S1_resample,20,13,99,0.66625962393271,0.125,0.84375
S1_resample,20,14,100,0.7059598323291748,0.0,0.80625
S1_resample,20,9,101,0.6575856450238979,0.0,0.7125
S1_resample,20,14,102,0.6307298362716417,0.041666666666666664,0.7666666666666666
S1_resample,20,12,103,0.6445759939269061,0.041666666666666664,0.7645833333333333
S1_resample,20,13,104,0.6388779062238586,0.041666666666666664,0.7062499999999999
S1_resample,20,14,105,0.6120011268840546,0.375,0.75625
S1_resample,20,12,106,0.6058112090787781,0.3333333333333333,0.74375
S1_resample,20,15,107,0.6181922830884025,0.375,0.74375
S1_resample,20,13,108,0.7007836230480303,0.0,0.7770833333333332
S1_resample,20,11,109,0.7072432464527757,0.0,0.7729166666666666
S1_resample,20,14,110,0.686292109544179,0.0,0.8020833333333334
S1_resample,20,12,111,0.6345275914192146,0.041666666666666664,0.7145833333333332
S1_resample,20,11,112,0.6565626300902194,0.0,0.71875
S1_resample,20,14,113,0.6784297098494342,0.041666666666666664,0.7583333333333333
S1_resample,20,12,114,0.6352026697063425,0.375,0.8125
S1_resample,20,11,115,0.690109434773364,0.0,0.8020833333333334
S1_resample,20,13,116,0.6137219146646044,0.375,0.725
S1_resample,20,11,117,0.7117360002884411,0.0,0.8458333333333333
S1_resample,20,14,118,0.6896039466140496,0.0,0.7625000000000001
S1_resample,20,14,119,0.6151756835721324,0.3333333333333333,0.7666666666666666
S1_resample,20,12,120,0.692617672244501,0.041666666666666664,0.7729166666666666
S1_resample,20,11,121,0.6426026974562604,0.0,0.71875
S1_resample,20,12,122,0.62968829360629,0.041666666666666664,0.6958333333333333
S1_resample,20,13,123,0.6652559634515576,0.0,0.75
S1_resample,20,17,124,0.6964136299109925,0.0,0.775
S1_resample,20,14,125,0.670964285405198,0.041666666666666664,0.7583333333333334
S1_resample,20,15,126,0.7076862991076811,0.0,0.80625
S1_resample,20,14,127,0.6272270172000354,0.041666666666666664,0.75
S1_resample,20,15,128,0.6610170278296981,0.0,0.6708333333333334
S1_resample,20,12,129,0.6812250666956637,0.0,0.7604166666666666
S1_resample,20,13,130,0.5937917106266564,0.4166666666666667,0.8145833333333333
S1_resample,20,11,131,0.6872765621939889,0.0,0.8104166666666668
S1_resample,20,13,132,0.6469400274067002,0.041666666666666664,0.7229166666666668
S1_resample,20,14,133,0.7094348476418773,0.041666666666666664,0.8375
S1_resample,20,12,134,0.6731510401264864,0.041666666666666664,0.7395833333333334
S1_resample,20,13,135,0.6335130013135041,0.041666666666666664,0.7416666666666666
S1_resample,20,9,136,0.6979501795472013,0.0,0.8083333333333332
S1_resample,20,11,137,0.6323199327720267,0.041666666666666664,0.7291666666666666
S1_resample,20,13,138,0.6226799220841113,0.0,0.7437499999999999
S1_resample,20,12,139,0.5803841918658955,0.375,0.6979166666666666
