cfg,val_fp,val_pct_mean,test_fp,test_pct_mean,test_pct_max,test_pct_q90,n_tied_at_min,seconds,design,method,replicate,fit_files,val_files,test_files,test_windows
"(200, 0.8)",0.0,0.5821185617103983,0.07142857142857142,0.685131195335277,0.9795918367346939,0.9591836734693877,1,1.0320763999998235,A,forest,61,7,3,2,14
"(200, 0.5)",0.0,0.5102040816326531,0.07142857142857142,0.6457725947521865,0.9795918367346939,0.9591836734693877,4,1.0661360999997669,A,forest,62,7,3,2,14
"(200, 0.5)",0.047619047619047616,0.5636540330417882,0.07142857142857142,0.6457725947521867,1.0,0.9591836734693877,2,1.0818343999999342,A,forest,63,7,3,2,14
"(200, 0.5)",0.0,0.46355685131195346,0.0,0.6151603498542274,0.9795918367346939,0.9469387755102041,6,1.0675160000000687,A,forest,64,7,3,2,14
"(200, 0.5)",0.0,0.5082604470359573,0.0,0.6180758017492712,0.9795918367346939,0.9530612244897959,6,1.0394846000003781,A,forest,65,7,3,2,14
"(200, 0.5)",0.0,0.5801749271137027,0.07142857142857142,0.6399416909620992,0.9795918367346939,0.8367346938775511,6,1.082296900000074,A,forest,66,7,3,2,14
"(200, 0.5)",0.0,0.4839650145772595,0.07142857142857142,0.6384839650145773,0.9795918367346939,0.9387755102040817,6,1.0900016999999025,A,forest,67,7,3,2,14
"(200, 0.5)",0.047619047619047616,0.6919339164237124,0.0,0.6865889212827988,0.9591836734693877,0.9326530612244899,2,1.0448630000000776,A,forest,68,7,3,2,14
"(200, 0.8)",0.0,0.532555879494655,0.0,0.661807580174927,0.9795918367346939,0.9122448979591837,5,1.0524370000002818,A,forest,69,7,3,2,14
"(200, 0.5)",0.0,0.49757045675413025,0.07142857142857142,0.641399416909621,0.9795918367346939,0.9387755102040817,5,1.1267382999999427,A,forest,70,7,3,2,14
"(200, 0.5)",0.09523809523809523,0.5694849368318755,0.07142857142857142,0.6501457725947521,0.9795918367346939,0.9591836734693877,2,1.0719005999999354,A,forest,71,7,3,2,14
"(200, 0.5)",0.047619047619047616,0.5393586005830903,0.07142857142857142,0.6282798833819242,0.9795918367346939,0.8918367346938776,2,1.0507321000000047,A,forest,72,7,3,2,14
"(100, 0.5)",0.0,0.5344995140913508,0.0,0.6690962099125363,0.9795918367346939,0.9387755102040817,1,1.0620026999999936,A,forest,73,7,3,2,14
"(200, 0.5)",0.0,0.5500485908649173,0.0,0.651603498542274,0.9795918367346939,0.9122448979591837,6,1.1049163000002409,A,forest,74,7,3,2,14
"(200, 0.5)",0.047619047619047616,0.5267249757045674,0.07142857142857142,0.6486880466472303,1.0,0.9204081632653062,5,1.0838627000002816,A,forest,75,7,3,2,14
