n_train,n_train_actual,repeat,threshold,test_fp,test_pct_mean,variant
20,20,9,0.6171039015131892,0.0,0.6678571428571429,V1_window
20,20,10,0.5886430404594105,0.21428571428571427,0.7249999999999999,V1_window
20,20,11,0.5611023937047876,0.07142857142857142,0.6428571428571429,V1_window
20,20,12,0.5555428908784863,0.14285714285714285,0.6285714285714287,V1_window
20,20,13,0.6190991382460266,0.0,0.6964285714285715,V1_window
20,20,14,0.5922839845863231,0.0,0.5750000000000001,V1_window
20,20,15,0.5927743088038375,0.0,0.7535714285714284,V1_window
20,20,16,0.5971567148229736,0.0,0.642857142857143,V1_window
20,20,17,0.5856077902658611,0.0,0.6142857142857142,V1_window
20,20,18,0.6162989685636051,0.0,0.6642857142857143,V1_window
20,20,19,0.5808502960748921,0.07142857142857142,0.692857142857143,V1_window
20,20,20,0.6181527318988369,0.0,0.7321428571428571,V1_window
20,20,21,0.5739296848278176,0.14285714285714285,0.6392857142857141,V1_window
20,20,22,0.6034828975421347,0.07142857142857142,0.7178571428571429,V1_window
20,20,23,0.6196685516047256,0.0,0.6464285714285715,V1_window
20,20,24,0.5942219879808783,0.0,0.7142857142857143,V1_window
20,20,25,0.5846749635891374,0.0,0.5750000000000001,V1_window
20,20,26,0.6139421111186595,0.0,0.6607142857142857,V1_window
20,20,27,0.5653645775172946,0.14285714285714285,0.6857142857142857,V1_window
20,20,28,0.5763798627579937,0.07142857142857142,0.6678571428571428,V1_window
20,20,29,0.6079245443703283,0.0,0.75,V1_window
20,20,30,0.5727518845923191,0.21428571428571427,0.6142857142857142,V1_window
20,20,31,0.6060982419732929,0.0,0.7071428571428572,V1_window
20,20,32,0.5703336024470738,0.21428571428571427,0.6214285714285713,V1_window
20,20,33,0.5863029275336398,0.07142857142857142,0.6607142857142857,V1_window
20,20,34,0.6092757006835444,0.0,0.6607142857142857,V1_window
20,20,35,0.5666683211080447,0.07142857142857142,0.6142857142857141,V1_window
20,20,36,0.6057695308822882,0.0,0.6178571428571429,V1_window
20,20,37,0.5862818978726245,0.07142857142857142,0.6214285714285713,V1_window
20,20,38,0.5585463902377017,0.14285714285714285,0.6535714285714286,V1_window
20,20,39,0.6090586956469141,0.0,0.7071428571428572,V1_window
20,20,40,0.5989685831692193,0.21428571428571427,0.7107142857142856,V1_window
20,20,41,0.574921792132949,0.0,0.725,V1_window
20,20,42,0.5624260739669549,0.07142857142857142,0.5821428571428571,V1_window
20,20,43,0.6011589475661117,0.0,0.6142857142857141,V1_window
20,20,44,0.5632933515350156,0.0,0.49999999999999994,V1_window
20,20,45,0.5625034419096512,0.14285714285714285,0.7142857142857144,V1_window
20,20,46,0.5613408780197778,0.14285714285714285,0.6178571428571429,V1_window
