arm,held_out,n_train,k_bearings,test_fp,dataset,rule
S3_units,Bearing1_5,20,1,0.25,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.05,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.2833333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.15,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.15,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.2,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.3333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.9166666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.15,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.85,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.06666666666666667,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.15,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.15,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.8,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,20,1,0.03333333333333333,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.016666666666666666,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.18333333333333332,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
S3_units,Bearing1_5,16,16,0.0,PRONOSTIA,"(0.05, 20, 60)"
