dataset,condition,held_out,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_3,1,20,0.016666666666666666
PRONOSTIA,C1,Bearing1_3,1,20,0.55
PRONOSTIA,C1,Bearing1_3,1,20,0.0
PRONOSTIA,C1,Bearing1_3,1,20,0.55
PRONOSTIA,C1,Bearing1_3,2,20,0.05
PRONOSTIA,C1,Bearing1_3,2,20,0.18333333333333332
PRONOSTIA,C1,Bearing1_3,2,20,0.26666666666666666
PRONOSTIA,C1,Bearing1_3,2,20,0.5833333333333334
PRONOSTIA,C1,Bearing1_3,2,20,0.0
PRONOSTIA,C1,Bearing1_3,2,20,0.38333333333333336
PRONOSTIA,C1,Bearing1_3,2,20,0.15
PRONOSTIA,C1,Bearing1_3,2,20,0.2
