dataset,condition,held_out,detector,k_bearings,n_train,test_fp
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8166666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.9333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.6833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.18333333333333332
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.8666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.8
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.75
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.6666666666666666
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.35
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.8
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.8
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.7833333333333333
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.0
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.13333333333333333
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.5666666666666667
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.11666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
PRONOSTIA,C1,Bearing1_1,B_mahalanobis,3,18,0.7666666666666667
PRONOSTIA,C1,Bearing1_1,A_rms_3sigma,3,18,0.8
